"ISO3","Year","Pathogen","Antibiotic","ATC.Class","Total.Isolates","Resistant.Isolates","Percent.Resistant.Isolates"
"ARG","2013","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"ARG","2014","Enterococcus spp.","Teicoplanin","J01X","4","0","0"
"BRA","2013","Enterococcus spp.","Teicoplanin","J01X","2","0","0"
"BRA","2014","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"CHN","2012","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"CHN","2013","Enterococcus spp.","Teicoplanin","J01X","3","0","0"
"COL","2012","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"CZE","2012","Enterococcus spp.","Teicoplanin","J01X","2","0","0"
"FRA","2014","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"GTM","2018","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"MEX","2014","Enterococcus spp.","Teicoplanin","J01X","3","0","0"
"PHL","2012","Enterococcus spp.","Teicoplanin","J01X","2","0","0"
"PHL","2014","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"POL","2013","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"POL","2014","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"ROU","2012","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"ROU","2014","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"SAU","2018","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"ZAF","2012","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"ZAF","2013","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"ESP","2012","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"ESP","2013","Enterococcus spp.","Teicoplanin","J01X","2","0","0"
"ESP","2014","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"ESP","2018","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"SWE","2012","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"SWE","2013","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"TWN","2013","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"THA","2012","Enterococcus spp.","Teicoplanin","J01X","2","0","0"
"THA","2014","Enterococcus spp.","Teicoplanin","J01X","5","0","0"
"GBR","2012","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"GBR","2013","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"USA","2013","Enterococcus spp.","Teicoplanin","J01X","3","0","0"
"VEN","2012","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"VEN","2013","Enterococcus spp.","Teicoplanin","J01X","1","0","0"
"VEN","2014","Enterococcus spp.","Teicoplanin","J01X","2","0","0"
NA,"Year",NA,"Antibiotic",NA,"Total Isolates","Resistant Isolates","Percent Resistant Isolates"
"ARG","2005","Enterococcus spp.","Vancomycin","J01X","1","1","100"
"ARG","2006","Enterococcus spp.","Vancomycin","J01X","1","1","100"
"ARG","2007","Enterococcus spp.","Vancomycin","J01X","2","2","100"
"ARG","2008","Enterococcus spp.","Vancomycin","J01X","5","3","60"
"ARG","2009","Enterococcus spp.","Vancomycin","J01X","2","2","100"
"ARG","2010","Enterococcus spp.","Vancomycin","J01X","2","1","50"
"ARG","2011","Enterococcus spp.","Vancomycin","J01X","1","0","0"
"ARG","2013","Enterococcus spp.","Vancomycin","J01X","1","0","0"
"ARG","2014","Enterococcus spp.","Vancomycin","J01X","4","0","0"
"ARG","2015","Enterococcus spp.","Vancomycin","J01X","3","0","0"
"ARG","2017","Enterococcus spp.","Vancomycin","J01X","2","0","0"
"AUS","2004","Enterococcus spp.","Vancomycin","J01X","1","0","0"
"AUS","2006","Enterococcus spp.","Vancomycin","J01X","1","0","0"
"AUS","2008","Enterococcus spp.","Vancomycin","J01X","2","0","0"
"AUT","2004","Enterococcus spp.","Vancomycin","J01X","1","0","0"
"AUT","2009","Enterococcus spp.","Vancomycin","J01X","4","0","0"
"AUT","2011","Enterococcus spp.","Vancomycin","J01X","4","0","0"
"BEL","2004","Enterococcus spp.","Vancomycin","J01X","1","0","0"
"BEL","2007","Enterococcus spp.","Vancomycin","J01X","4","0","0"
"BEL","2008","Enterococcus spp.","Vancomycin","J01X","1","0","0"
"BEL","2011","Enterococcus spp.","Vancomycin","J01X","2","1","50"
