"ISO3","Year","Pathogen","Antibiotic","ATC.Class","Total.Isolates","Resistant.Isolates","Percent.Resistant.Isolates"
"ARG","2012","H. influenzae","Doripenem","J01D","5","0","0"
"ARG","2013","H. influenzae","Doripenem","J01D","9","0","0"
"ARG","2014","H. influenzae","Doripenem","J01D","9","0","0"
"ARG","2015","H. influenzae","Doripenem","J01D","21","0","0"
"ARG","2016","H. influenzae","Doripenem","J01D","7","0","0"
"ARG","2017","H. influenzae","Doripenem","J01D","18","0","0"
"AUS","2012","H. influenzae","Doripenem","J01D","12","0","0"
"AUS","2013","H. influenzae","Doripenem","J01D","10","0","0"
"AUS","2014","H. influenzae","Doripenem","J01D","17","0","0"
"AUS","2015","H. influenzae","Doripenem","J01D","27","0","0"
"AUS","2016","H. influenzae","Doripenem","J01D","39","0","0"
"AUS","2017","H. influenzae","Doripenem","J01D","38","0","0"
"AUT","2012","H. influenzae","Doripenem","J01D","9","0","0"
"AUT","2013","H. influenzae","Doripenem","J01D","9","0","0"
"AUT","2014","H. influenzae","Doripenem","J01D","11","0","0"
"AUT","2015","H. influenzae","Doripenem","J01D","8","0","0"
"AUT","2016","H. influenzae","Doripenem","J01D","17","0","0"
"BEL","2012","H. influenzae","Doripenem","J01D","3","0","0"
"BEL","2013","H. influenzae","Doripenem","J01D","14","0","0"
"BEL","2014","H. influenzae","Doripenem","J01D","17","0","0"
"BEL","2015","H. influenzae","Doripenem","J01D","42","0","0"
"BEL","2016","H. influenzae","Doripenem","J01D","39","0","0"
"BEL","2017","H. influenzae","Doripenem","J01D","32","0","0"
"BRA","2014","H. influenzae","Doripenem","J01D","2","0","0"
"BRA","2016","H. influenzae","Doripenem","J01D","3","0","0"
"BRA","2017","H. influenzae","Doripenem","J01D","3","0","0"
"CHL","2012","H. influenzae","Doripenem","J01D","3","0","0"
"CHL","2013","H. influenzae","Doripenem","J01D","3","0","0"
"CHL","2014","H. influenzae","Doripenem","J01D","7","0","0"
"CHL","2015","H. influenzae","Doripenem","J01D","16","0","0"
"CHL","2016","H. influenzae","Doripenem","J01D","19","0","0"
"CHL","2017","H. influenzae","Doripenem","J01D","19","0","0"
"CHN","2012","H. influenzae","Doripenem","J01D","10","0","0"
"CHN","2013","H. influenzae","Doripenem","J01D","10","0","0"
"COL","2013","H. influenzae","Doripenem","J01D","2","0","0"
"COL","2014","H. influenzae","Doripenem","J01D","4","0","0"
"COL","2015","H. influenzae","Doripenem","J01D","5","0","0"
"COL","2016","H. influenzae","Doripenem","J01D","4","0","0"
"CZE","2013","H. influenzae","Doripenem","J01D","4","0","0"
"CZE","2014","H. influenzae","Doripenem","J01D","6","0","0"
"CZE","2015","H. influenzae","Doripenem","J01D","20","0","0"
"CZE","2016","H. influenzae","Doripenem","J01D","18","0","0"
"CZE","2017","H. influenzae","Doripenem","J01D","27","0","0"
"DNK","2013","H. influenzae","Doripenem","J01D","1","0","0"
"DNK","2014","H. influenzae","Doripenem","J01D","12","0","0"
"DNK","2015","H. influenzae","Doripenem","J01D","27","0","0"
"DNK","2016","H. influenzae","Doripenem","J01D","9","0","0"
"DNK","2017","H. influenzae","Doripenem","J01D","8","0","0"
"FRA","2012","H. influenzae","Doripenem","J01D","7","0","0"
"FRA","2013","H. influenzae","Doripenem","J01D","17","0","0"
"FRA","2014","H. influenzae","Doripenem","J01D","24","0","0"
"FRA","2015","H. influenzae","Doripenem","J01D","43","0","0"
"FRA","2016","H. influenzae","Doripenem","J01D","58","0","0"
"FRA","2017","H. influenzae","Doripenem","J01D","46","0","0"
"DEU","2013","H. influenzae","Doripenem","J01D","23","0","0"
"DEU","2014","H. influenzae","Doripenem","J01D","18","0","0"
"DEU","2015","H. influenzae","Doripenem","J01D","46","0","0"
"DEU","2016","H. influenzae","Doripenem","J01D","37","0","0"
"DEU","2017","H. influenzae","Doripenem","J01D","33","0","0"
"GRC","2012","H. influenzae","Doripenem","J01D","2","0","0"
"GRC","2013","H. influenzae","Doripenem","J01D","8","0","0"
"GRC","2014","H. influenzae","Doripenem","J01D","6","0","0"
"GRC","2015","H. influenzae","Doripenem","J01D","8","0","0"
"GRC","2016","H. influenzae","Doripenem","J01D","7","0","0"
"GRC","2017","H. influenzae","Doripenem","J01D","3","0","0"
"HKG","2013","H. influenzae","Doripenem","J01D","3","0","0"
"HKG","2014","H. influenzae","Doripenem","J01D","2","0","0"
"HUN","2012","H. influenzae","Doripenem","J01D","8","0","0"
"HUN","2013","H. influenzae","Doripenem","J01D","8","0","0"
"HUN","2014","H. influenzae","Doripenem","J01D","9","0","0"
"HUN","2015","H. influenzae","Doripenem","J01D","26","0","0"
"HUN","2016","H. influenzae","Doripenem","J01D","25","0","0"
"HUN","2017","H. influenzae","Doripenem","J01D","26","0","0"
"IRL","2013","H. influenzae","Doripenem","J01D","3","0","0"
"ISR","2012","H. influenzae","Doripenem","J01D","13","0","0"
"ISR","2013","H. influenzae","Doripenem","J01D","24","0","0"
"ISR","2014","H. influenzae","Doripenem","J01D","26","0","0"
"ISR","2015","H. influenzae","Doripenem","J01D","28","0","0"
"ISR","2016","H. influenzae","Doripenem","J01D","32","0","0"
"ISR","2017","H. influenzae","Doripenem","J01D","32","0","0"
"ITA","2013","H. influenzae","Doripenem","J01D","17","0","0"
"ITA","2014","H. influenzae","Doripenem","J01D","19","0","0"
"ITA","2015","H. influenzae","Doripenem","J01D","35","0","0"
"ITA","2016","H. influenzae","Doripenem","J01D","32","0","0"
"ITA","2017","H. influenzae","Doripenem","J01D","31","0","0"
"JPN","2012","H. influenzae","Doripenem","J01D","3","0","0"
"JPN","2013","H. influenzae","Doripenem","J01D","8","0","0"
"JPN","2014","H. influenzae","Doripenem","J01D","6","0","0"
"JPN","2015","H. influenzae","Doripenem","J01D","15","0","0"
"JPN","2016","H. influenzae","Doripenem","J01D","6","0","0"
"JPN","2017","H. influenzae","Doripenem","J01D","20","0","0"
"KEN","2014","H. influenzae","Doripenem","J01D","3","0","0"
"KOR","2012","H. influenzae","Doripenem","J01D","5","0","0"
"KOR","2013","H. influenzae","Doripenem","J01D","10","0","0"
"KOR","2014","H. influenzae","Doripenem","J01D","9","0","0"
"KOR","2015","H. influenzae","Doripenem","J01D","19","0","0"
"KOR","2016","H. influenzae","Doripenem","J01D","20","0","0"
"KOR","2017","H. influenzae","Doripenem","J01D","20","0","0"
"KWT","2013","H. influenzae","Doripenem","J01D","4","0","0"
"KWT","2014","H. influenzae","Doripenem","J01D","16","0","0"
"KWT","2015","H. influenzae","Doripenem","J01D","27","0","0"
"KWT","2016","H. influenzae","Doripenem","J01D","27","0","0"
"KWT","2017","H. influenzae","Doripenem","J01D","31","0","0"
"MYS","2013","H. influenzae","Doripenem","J01D","4","0","0"
"MYS","2014","H. influenzae","Doripenem","J01D","4","0","0"
"MYS","2015","H. influenzae","Doripenem","J01D","15","0","0"
"MEX","2012","H. influenzae","Doripenem","J01D","2","0","0"
"MEX","2013","H. influenzae","Doripenem","J01D","4","0","0"
"MEX","2014","H. influenzae","Doripenem","J01D","9","0","0"
"MEX","2015","H. influenzae","Doripenem","J01D","10","0","0"
"MEX","2016","H. influenzae","Doripenem","J01D","6","0","0"
"MEX","2017","H. influenzae","Doripenem","J01D","16","0","0"
"NLD","2012","H. influenzae","Doripenem","J01D","4","0","0"
"NLD","2013","H. influenzae","Doripenem","J01D","8","0","0"
"NLD","2014","H. influenzae","Doripenem","J01D","4","0","0"
"NLD","2015","H. influenzae","Doripenem","J01D","15","0","0"
"NLD","2016","H. influenzae","Doripenem","J01D","18","0","0"
"NLD","2017","H. influenzae","Doripenem","J01D","17","0","0"
"PHL","2012","H. influenzae","Doripenem","J01D","7","0","0"
"PHL","2013","H. influenzae","Doripenem","J01D","9","0","0"
"PHL","2014","H. influenzae","Doripenem","J01D","11","0","0"
"PHL","2015","H. influenzae","Doripenem","J01D","17","0","0"
"PHL","2016","H. influenzae","Doripenem","J01D","25","0","0"
"PHL","2017","H. influenzae","Doripenem","J01D","19","0","0"
