Year,Country,ISO3,Antimicrobial,DDD,Sector
2000,"Argentina ",ARG,Aminoglycosides,686423.81,Retail
2000,"Argentina ",ARG,"Broad spectrum penicillins",85519559.94,Retail
2000,"Argentina ",ARG,Carbapenems,36577.94,Retail
2000,"Argentina ",ARG,Cephalosporins,11089949.72,Retail
2000,"Argentina ",ARG,Chloramphenicols,220938.86,Retail
2000,"Argentina ",ARG,Fluoroquinolones,9999042.80,Retail
2000,"Argentina ",ARG,Glycopeptides,23181.24,Retail
2000,"Argentina ",ARG,Glycylcyclines,0.00,Retail
2000,"Argentina ",ARG,Lipopeptides,0.00,Retail
2000,"Argentina ",ARG,Macrolides,12806297.00,Retail
2000,"Argentina ",ARG,Monobactams,1024.07,Retail
2000,"Argentina ",ARG,"Narrow spectrum penicillins",3245153.75,Retail
2000,"Argentina ",ARG,Others,1064758.74,Retail
2000,"Argentina ",ARG,Oxazolidinones,120.51,Retail
2000,"Argentina ",ARG,Phosphonics,136240.86,Retail
2000,"Argentina ",ARG,Polymyxins,5274.67,Retail
2000,"Argentina ",ARG,Tetracyclines,7385525.00,Retail
2000,"Argentina ",ARG,Trimethoprim,3541934.75,Retail
2000,Australia,AUS,Aminoglycosides,2715637.00,Hospital/Retail
2000,Australia,AUS,"Broad spectrum penicillins",61891763.47,Hospital/Retail
2000,Australia,AUS,Carbapenems,20828.61,Hospital/Retail
2000,Australia,AUS,Cephalosporins,21191543.19,Hospital/Retail
2000,Australia,AUS,Chloramphenicols,5509.02,Hospital/Retail
2000,Australia,AUS,Fluoroquinolones,3212106.52,Hospital/Retail
2000,Australia,AUS,Glycopeptides,52800.09,Hospital/Retail
2000,Australia,AUS,Glycylcyclines,0.00,Hospital/Retail
2000,Australia,AUS,Lipopeptides,0.00,Hospital/Retail
2000,Australia,AUS,Macrolides,23412914.00,Hospital/Retail
2000,Australia,AUS,Monobactams,650.12,Hospital/Retail
2000,Australia,AUS,"Narrow spectrum penicillins",9744655.00,Hospital/Retail
2000,Australia,AUS,Others,301925.53,Hospital/Retail
2000,Australia,AUS,Oxazolidinones,0.00,Hospital/Retail
2000,Australia,AUS,Polymyxins,136569.33,Hospital/Retail
2000,Australia,AUS,Tetracyclines,47044900.00,Hospital/Retail
2000,Australia,AUS,Trimethoprim,4845910.00,Hospital/Retail
2000,Austria,AUT,Aminoglycosides,417999.91,Hospital/Retail
2000,Austria,AUT,"Broad spectrum penicillins",11772321.63,Hospital/Retail
2000,Austria,AUT,Carbapenems,67671.08,Hospital/Retail
2000,Austria,AUT,Cephalosporins,4122286.19,Hospital/Retail
2000,Austria,AUT,Fluoroquinolones,4152137.61,Hospital/Retail
2000,Austria,AUT,Glycopeptides,111024.88,Hospital/Retail
2000,Austria,AUT,Glycylcyclines,0.00,Hospital/Retail
2000,Austria,AUT,Lipopeptides,0.00,Hospital/Retail
2000,Austria,AUT,Macrolides,9702079.00,Hospital/Retail
2000,Austria,AUT,Monobactams,717.42,Hospital/Retail
2000,Austria,AUT,"Narrow spectrum penicillins",2738833.50,Hospital/Retail
2000,Austria,AUT,Others,100693.59,Hospital/Retail
2000,Austria,AUT,Oxazolidinones,0.00,Hospital/Retail
2000,Austria,AUT,Phosphonics,16613.11,Hospital/Retail
2000,Austria,AUT,Polymyxins,18481.61,Hospital/Retail
2000,Austria,AUT,Tetracyclines,3464233.75,Hospital/Retail
2000,Austria,AUT,Trimethoprim,1914342.50,Hospital/Retail
2000,Belgium,BEL,Aminoglycosides,443824.78,Hospital/Retail
2000,Belgium,BEL,"Broad spectrum penicillins",54873991.11,Hospital/Retail
2000,Belgium,BEL,Carbapenems,211114.14,Hospital/Retail
2000,Belgium,BEL,Cephalosporins,13807777.38,Hospital/Retail
2000,Belgium,BEL,Chloramphenicols,114425.87,Hospital/Retail
2000,Belgium,BEL,Fluoroquinolones,9358532.78,Hospital/Retail
2000,Belgium,BEL,Glycopeptides,154646.58,Hospital/Retail
2000,Belgium,BEL,Glycylcyclines,0.00,Hospital/Retail
2000,Belgium,BEL,Macrolides,14441061.00,Hospital/Retail
2000,Belgium,BEL,Monobactams,23919.63,Hospital/Retail
2000,Belgium,BEL,"Narrow spectrum penicillins",2307205.25,Hospital/Retail
2000,Belgium,BEL,Others,28733.69,Hospital/Retail
2000,Belgium,BEL,Oxazolidinones,0.00,Hospital/Retail
2000,Belgium,BEL,Phosphonics,0.00,Hospital/Retail
2000,Belgium,BEL,Polymyxins,38908.54,Hospital/Retail
2000,Belgium,BEL,Tetracyclines,11573098.00,Hospital/Retail
2000,Belgium,BEL,Trimethoprim,2109656.50,Hospital/Retail
2000,"Brazil ",BRA,Aminoglycosides,6011295.00,Hospital/Retail
2000,"Brazil ",BRA,"Broad spectrum penicillins",191220263.51,Hospital/Retail
2000,"Brazil ",BRA,Carbapenems,1934181.00,Hospital/Retail
2000,"Brazil ",BRA,Cephalosporins,37233681.50,Hospital/Retail
2000,"Brazil ",BRA,Chloramphenicols,3515437.00,Hospital/Retail
2000,"Brazil ",BRA,Fluoroquinolones,26472325.75,Hospital/Retail
2000,"Brazil ",BRA,Glycopeptides,1056738.00,Hospital/Retail
2000,"Brazil ",BRA,Glycylcyclines,0.00,Hospital/Retail
2000,"Brazil ",BRA,Lipopeptides,0.00,Hospital/Retail
2000,"Brazil ",BRA,Macrolides,50771016.00,Hospital/Retail
2000,"Brazil ",BRA,Monobactams,26393.83,Hospital/Retail
2000,"Brazil ",BRA,"Narrow spectrum penicillins",15071172.00,Hospital/Retail
2000,"Brazil ",BRA,Others,1039765.28,Hospital/Retail
2000,"Brazil ",BRA,Oxazolidinones,0.00,Hospital/Retail
2000,"Brazil ",BRA,Polymyxins,0.00,Hospital/Retail
2000,"Brazil ",BRA,Tetracyclines,39160376.00,Hospital/Retail
2000,"Brazil ",BRA,Trimethoprim,72085648.00,Hospital/Retail
2000,Bulgaria,BGR,Aminoglycosides,3626089.50,Hospital/Retail
2000,Bulgaria,BGR,"Broad spectrum penicillins",12519705.60,Hospital/Retail
2000,Bulgaria,BGR,Carbapenems,18622.27,Hospital/Retail
2000,Bulgaria,BGR,Cephalosporins,4787032.50,Hospital/Retail
2000,Bulgaria,BGR,Chloramphenicols,346704.56,Hospital/Retail
2000,Bulgaria,BGR,Fluoroquinolones,5822285.11,Hospital/Retail
2000,Bulgaria,BGR,Glycopeptides,6609.97,Hospital/Retail
2000,Bulgaria,BGR,Glycylcyclines,0.00,Hospital/Retail
2000,Bulgaria,BGR,Lipopeptides,0.00,Hospital/Retail
2000,Bulgaria,BGR,Macrolides,2649204.00,Hospital/Retail
2000,Bulgaria,BGR,Monobactams,0.00,Hospital/Retail
2000,Bulgaria,BGR,"Narrow spectrum penicillins",1677461.13,Hospital/Retail
2000,Bulgaria,BGR,Others,1038453.93,Hospital/Retail
2000,Bulgaria,BGR,Oxazolidinones,0.00,Hospital/Retail
2000,Bulgaria,BGR,Polymyxins,0.00,Hospital/Retail
2000,Bulgaria,BGR,Tetracyclines,6703747.50,Hospital/Retail
2000,Bulgaria,BGR,Trimethoprim,3071367.00,Hospital/Retail
2000,Canada,CAN,Aminoglycosides,1909940.75,Hospital/Retail
2000,Canada,CAN,"Broad spectrum penicillins",84460962.09,Hospital/Retail
2000,Canada,CAN,Carbapenems,180730.28,Hospital/Retail
2000,Canada,CAN,Cephalosporins,28761841.75,Hospital/Retail
2000,Canada,CAN,Chloramphenicols,3056.05,Hospital/Retail
2000,Canada,CAN,Fluoroquinolones,23166124.38,Hospital/Retail
2000,Canada,CAN,Glycopeptides,231856.28,Hospital/Retail
2000,Canada,CAN,Glycylcyclines,0.00,Hospital/Retail
2000,Canada,CAN,Lipopeptides,0.00,Hospital/Retail
2000,Canada,CAN,Macrolides,56474036.00,Hospital/Retail
2000,Canada,CAN,"Narrow spectrum penicillins",15733703.00,Hospital/Retail
2000,Canada,CAN,Others,180483.59,Hospital/Retail
2000,Canada,CAN,Oxazolidinones,0.00,Hospital/Retail
2000,Canada,CAN,Polymyxins,22193.33,Hospital/Retail
2000,Canada,CAN,Tetracyclines,34076100.00,Hospital/Retail
2000,Canada,CAN,Trimethoprim,14989591.00,Hospital/Retail
2000,"Central America",CAM,Aminoglycosides,919008.88,Retail
2000,"Central America",CAM,"Broad spectrum penicillins",15650765.50,Retail
2000,"Central America",CAM,Carbapenems,3558.04,Retail
2000,"Central America",CAM,Cephalosporins,3642803.09,Retail
2000,"Central America",CAM,Chloramphenicols,379295.69,Retail
2000,"Central America",CAM,Fluoroquinolones,3463289.48,Retail
2000,"Central America",CAM,Glycopeptides,2617.70,Retail
2000,"Central America",CAM,Glycylcyclines,0.00,Retail
2000,"Central America",CAM,Macrolides,5515803.50,Retail
2000,"Central America",CAM,Monobactams,0.00,Retail
2000,"Central America",CAM,"Narrow spectrum penicillins",1081413.00,Retail
2000,"Central America",CAM,Others,292574.34,Retail
2000,"Central America",CAM,Oxazolidinones,0.00,Retail
2000,"Central America",CAM,Phosphonics,102505.95,Retail
2000,"Central America",CAM,Tetracyclines,9563198.00,Retail
2000,"Central America",CAM,Trimethoprim,7890886.00,Retail
2000,"Chile ",CHL,Aminoglycosides,217115.98,Retail
2000,"Chile ",CHL,"Broad spectrum penicillins",20174129.63,Retail
2000,"Chile ",CHL,Carbapenems,1097.30,Retail
2000,"Chile ",CHL,Cephalosporins,1593182.02,Retail
2000,"Chile ",CHL,Chloramphenicols,218184.92,Retail
2000,"Chile ",CHL,Fluoroquinolones,3006811.51,Retail
2000,"Chile ",CHL,Glycopeptides,1353.12,Retail
2000,"Chile ",CHL,Glycylcyclines,0.00,Retail
2000,"Chile ",CHL,Macrolides,6716147.00,Retail
2000,"Chile ",CHL,Monobactams,0.00,Retail
2000,"Chile ",CHL,"Narrow spectrum penicillins",3111912.50,Retail
2000,"Chile ",CHL,Others,4835.68,Retail
2000,"Chile ",CHL,Oxazolidinones,0.00,Retail
2000,"Chile ",CHL,Tetracyclines,3923325.50,Retail
2000,"Chile ",CHL,Trimethoprim,3177366.25,Retail
2000,"China ",CHN,Aminoglycosides,128858240.00,Hospital/Retail
2000,"China ",CHN,"Broad spectrum penicillins",856732649.06,Hospital/Retail
2000,"China ",CHN,Carbapenems,660584.50,Hospital/Retail
2000,"China ",CHN,Cephalosporins,427107376.00,Hospital/Retail
2000,"China ",CHN,Chloramphenicols,1090651.13,Hospital/Retail
2000,"China ",CHN,Fluoroquinolones,364981390.00,Hospital/Retail
2000,"China ",CHN,Glycopeptides,249717.06,Hospital/Retail
2000,"China ",CHN,Macrolides,433991808.00,Hospital/Retail
2000,"China ",CHN,Monobactams,98405.84,Hospital/Retail
2000,"China ",CHN,"Narrow spectrum penicillins",99728680.00,Hospital/Retail
2000,"China ",CHN,Others,934600.39,Hospital/Retail
2000,"China ",CHN,Phosphonics,2263913.75,Hospital/Retail
2000,"China ",CHN,Polymyxins,24936.63,Hospital/Retail
2000,"China ",CHN,Tetracyclines,61013652.00,Hospital/Retail
2000,"China ",CHN,Trimethoprim,34185384.00,Hospital/Retail
2000,"Colombia ",COL,Aminoglycosides,2603002.00,Retail
2000,"Colombia ",COL,"Broad spectrum penicillins",43515792.31,Retail
2000,"Colombia ",COL,Carbapenems,15392.27,Retail
2000,"Colombia ",COL,Cephalosporins,4623726.36,Retail
2000,"Colombia ",COL,Chloramphenicols,522703.22,Retail
2000,"Colombia ",COL,Fluoroquinolones,5108083.00,Retail
2000,"Colombia ",COL,Glycopeptides,3483.96,Retail
2000,"Colombia ",COL,Glycylcyclines,0.00,Retail
2000,"Colombia ",COL,Macrolides,7023681.00,Retail
2000,"Colombia ",COL,Monobactams,1261.08,Retail
2000,"Colombia ",COL,"Narrow spectrum penicillins",10701021.00,Retail
2000,"Colombia ",COL,Others,511722.03,Retail
2000,"Colombia ",COL,Oxazolidinones,0.00,Retail
2000,"Colombia ",COL,Tetracyclines,12630428.00,Retail
2000,"Colombia ",COL,Trimethoprim,15132343.00,Retail
2000,"Czech Republic",CZE,Aminoglycosides,808037.63,Hospital/Retail
2000,"Czech Republic",CZE,"Broad spectrum penicillins",24314733.31,Hospital/Retail
2000,"Czech Republic",CZE,Carbapenems,58569.08,Hospital/Retail
2000,"Czech Republic",CZE,Cephalosporins,4647454.06,Hospital/Retail
2000,"Czech Republic",CZE,Chloramphenicols,80470.44,Hospital/Retail
2000,"Czech Republic",CZE,Fluoroquinolones,4300007.84,Hospital/Retail
2000,"Czech Republic",CZE,Glycopeptides,32353.46,Hospital/Retail
2000,"Czech Republic",CZE,Glycylcyclines,0.00,Hospital/Retail
2000,"Czech Republic",CZE,Macrolides,7395800.50,Hospital/Retail
2000,"Czech Republic",CZE,Monobactams,584.67,Hospital/Retail
2000,"Czech Republic",CZE,"Narrow spectrum penicillins",8520233.00,Hospital/Retail
2000,"Czech Republic",CZE,Others,415544.44,Hospital/Retail
2000,"Czech Republic",CZE,Oxazolidinones,0.00,Hospital/Retail
2000,"Czech Republic",CZE,Polymyxins,28366.67,Hospital/Retail
2000,"Czech Republic",CZE,Tetracyclines,13914711.00,Hospital/Retail
2000,"Czech Republic",CZE,Trimethoprim,6916922.50,Hospital/Retail
2000,Denmark,DNK,Aminoglycosides,505324.78,Retail
2000,Denmark,DNK,"Broad spectrum penicillins",5825552.23,Retail
2000,Denmark,DNK,Carbapenems,35470.05,Retail
2000,Denmark,DNK,Cephalosporins,429779.66,Retail
2000,Denmark,DNK,Chloramphenicols,3849.47,Retail
2000,Denmark,DNK,Fluoroquinolones,572709.84,Retail
2000,Denmark,DNK,Glycopeptides,30653.43,Retail
2000,Denmark,DNK,Glycylcyclines,0.00,Retail
2000,Denmark,DNK,Lipopeptides,0.00,Retail
2000,Denmark,DNK,Macrolides,3197421.00,Retail
2000,Denmark,DNK,Monobactams,1761.44,Retail
2000,Denmark,DNK,"Narrow spectrum penicillins",7804032.50,Retail
2000,Denmark,DNK,Others,170834.55,Retail
2000,Denmark,DNK,Oxazolidinones,0.00,Retail
2000,Denmark,DNK,Polymyxins,51640.00,Retail
2000,Denmark,DNK,Tetracyclines,2300584.50,Retail
2000,Denmark,DNK,Trimethoprim,1284209.88,Retail
2000,"Dominican Republic",DOM,Aminoglycosides,403571.19,Retail
2000,"Dominican Republic",DOM,"Broad spectrum penicillins",4674023.33,Retail
2000,"Dominican Republic",DOM,Carbapenems,909.69,Retail
2000,"Dominican Republic",DOM,Cephalosporins,1266795.14,Retail
2000,"Dominican Republic",DOM,Chloramphenicols,161825.55,Retail
2000,"Dominican Republic",DOM,Fluoroquinolones,1016662.78,Retail
2000,"Dominican Republic",DOM,Glycopeptides,647.25,Retail
2000,"Dominican Republic",DOM,Macrolides,1544220.25,Retail
2000,"Dominican Republic",DOM,Monobactams,0.00,Retail
2000,"Dominican Republic",DOM,"Narrow spectrum penicillins",222017.06,Retail
2000,"Dominican Republic",DOM,Others,158792.48,Retail
2000,"Dominican Republic",DOM,Oxazolidinones,0.00,Retail
2000,"Dominican Republic",DOM,Phosphonics,163603.20,Retail
2000,"Dominican Republic",DOM,Tetracyclines,1793938.75,Retail
