"region","drug","avertable_burden","lower_bound","upper_bound","avertable_burden_per_100k","lower_bound_per_100k","upper_bound_per_100k"
"Andean Latin America","J01C",150.914883385574,74.0337587802061,237.0305785688,0.249629704297989,0.122459925076801,0.392074472115101
"Australasia","J01C",29.0604266534811,15.4365746739382,45.9290955613414,0.116412796172203,0.0618371795618111,0.18398678394199
"Caribbean","J01C",90.4754809847362,55.5745709682857,128.501661151041,0.20918504387426,0.128491928860321,0.297103981467983
"Central Asia","J01C",104.166943564015,68.1513507177122,146.188951320794,0.115294636539142,0.0754316575087131,0.161805669168082
"Central Europe","J01C",196.566333818142,110.754332809384,300.826289072772,0.17588676569643,0.0991025319866383,0.2691781547415
"Central Latin America","J01C",437.196766097664,248.918819163412,654.789591008642,0.173392762369824,0.0987215025532402,0.259690337989906
"Central Sub-Saharan Africa","J01C",181.105599774543,125.09047734268,239.832001995649,0.133622444534671,0.0922936418937136,0.176951670319404
"East Asia","J01C",1841.98771205146,974.423620758068,2947.83987408767,0.123545644079139,0.0653564587021085,0.197717266789322
"Eastern Europe","J01C",279.773749711481,171.25557437863,425.872258882487,0.133977558823334,0.0820105668019189,0.203940954698199
"Eastern Sub-Saharan Africa","J01C",526.471128658559,384.164516625183,691.990444627067,0.128029458287495,0.093422739214818,0.168281140110124
"High-income Asia Pacific","J01C",820.918273034973,400.811460465028,1296.88645121189,0.445008376441631,0.217274317236622,0.703024104883537
"High-income North America","J01C",883.510158951433,495.46537422463,1447.82344224439,0.241658875740135,0.135520349245776,0.396010596797477
"North Africa and Middle East","J01C",876.248552028295,536.643532423776,1263.77077414872,0.139637763859623,0.0855187751054515,0.201392772090509
"Oceania","J01C",21.2278061633493,15.4485604296344,28.3263702004604,0.120181370694689,0.0874621311974643,0.160369939846832
"South Asia","J01C",2327.96508056764,1517.39483701098,3245.74401654315,0.128185302391712,0.0835526776812508,0.178721185175691
"Southeast Asia","J01C",1020.24526555022,641.45340249812,1430.94638613813,0.15531393968102,0.0976497107389653,0.217835777540778
"Southern Latin America","J01C",229.376163359819,114.963219228375,359.830932168308,0.342645997279161,0.171734003768892,0.537521540157986
"Southern Sub-Saharan Africa","J01C",115.611624093562,71.8739481983941,167.532849925614,0.141202531200957,0.0877834170446955,0.204616643475767
"Tropical Latin America","J01C",420.027168709797,227.392148515119,646.957566768347,0.197627625680674,0.106990627647992,0.304400994414989
"Western Europe","J01C",610.617337046221,335.474129402407,938.896158919819,0.143718123504751,0.0789589640466669,0.220983561944886
"Western Sub-Saharan Africa","J01C",925.849749054635,687.028324451172,1191.35918978016,0.211277228953208,0.156778614187261,0.271866000462499
"Andean Latin America","J01D",48.6270651267513,27.682090855927,68.0338223004604,0.0804344781386245,0.0457892024940974,0.112535374657085
"Australasia","J01D",7.41232940209146,3.6066983643847,10.9990286455853,0.0296929567530467,0.0144480274344987,0.0440608699617065
"Caribbean","J01D",39.7799610878287,17.9794414482937,61.6217217284667,0.0919737901904902,0.0415696076689609,0.142473324519285
"Central Asia","J01D",59.517935018715,39.4729193889226,81.7831315761083,0.0658759722687454,0.043689636446786,0.0905196611082827
"Central Europe","J01D",85.2982063607149,54.5191684430125,119.364405892991,0.0763244923231514,0.0487835328646462,0.106806790786553
"Central Latin America","J01D",182.90033121148,108.86366430368,252.353067386692,0.0725384909641117,0.0431754599737812,0.100083529522042
"Central Sub-Saharan Africa","J01D",71.9722240848406,49.2481936921469,94.6667237269108,0.0531021930453052,0.0363360604987028,0.0698465373584561
"East Asia","J01D",1174.38204956387,110.069020638137,2111.9081109857,0.0787680535321045,0.00738254004569539,0.141649722254172
"Eastern Europe","J01D",202.748417309265,124.700464285549,287.374397657168,0.0970918037678758,0.0597163379564504,0.137617343679093
