"region","pathogen","avertable_burden","lower_bound","upper_bound","avertable_burden_per_100k","lower_bound_per_100k","upper_bound_per_100k"
"Andean Latin America","Acinetobacter spp.",47.9801197166,26.3253835945435,69.8697869065983,0.0793643597526173,0.0435450604659528,0.115572260691452
"Australasia","Acinetobacter spp.",8.49250215901205,4.16947759643285,12.6975897600366,0.0340200071601713,0.0167024576536959,0.0508651144815978
"Caribbean","Acinetobacter spp.",66.420781810493,41.7541999595171,94.2116726552314,0.153569055460835,0.0965383555345759,0.2178233557131
"Central Asia","Acinetobacter spp.",69.9006631397482,45.6280317616368,99.4726698750374,0.0773678412248852,0.0505022721984873,0.110098894394195
"Central Europe","Acinetobacter spp.",79.1470062811119,45.8265085431773,118.308595619871,0.0708204232074608,0.0410053757134039,0.105862055996414
"Central Latin America","Acinetobacter spp.",196.497931731342,117.728488328547,280.543468222822,0.0779313156567206,0.0466912598259028,0.111263876341436
"Central Sub-Saharan Africa","Acinetobacter spp.",95.3994022914314,63.7610450749646,130.960490161087,0.0703871186600353,0.0470438612588927,0.0966246259340844
"East Asia","Acinetobacter spp.",1596.35304388133,467.688004111357,2706.23977617744,0.107070456384512,0.0313687302678437,0.181512685450036
"Eastern Europe","Acinetobacter spp.",145.592880997902,88.8500659668865,215.510054794378,0.0697212615489158,0.0425483625672946,0.103203074173362
"Eastern Sub-Saharan Africa","Acinetobacter spp.",281.449164376458,192.108565164223,374.826987513813,0.0684439888325873,0.0467177670179798,0.0911519997026278
"High-income Asia Pacific","Acinetobacter spp.",76.983152017224,40.4863939674835,115.469561844207,0.041731495835621,0.0219471109844311,0.0625944432382345
"High-income North America","Acinetobacter spp.",193.399184077473,106.52889286574,282.329113682756,0.052898802486538,0.0291379247006386,0.0772230353098113
"North Africa and Middle East","Acinetobacter spp.",498.541377044363,307.61592858022,707.355853114655,0.0794468680385609,0.0490212512136128,0.112723255694187
"Oceania","Acinetobacter spp.",11.4601856896435,7.82324352094309,15.7879343617776,0.0648819201569207,0.0442913470374812,0.0893834990500424
"South Asia","Acinetobacter spp.",2330.70947572426,1406.37413378911,3334.87183068697,0.128336417683762,0.0774395179379927,0.183628851490322
"Southeast Asia","Acinetobacter spp.",723.867229245683,456.922396239832,999.182030292149,0.110195729376405,0.0695581933920839,0.152107442027149
"Southern Latin America","Acinetobacter spp.",65.8632032921797,39.9103200003917,94.9723709559062,0.0983875684617118,0.0596187118921014,0.141871336077345
"Southern Sub-Saharan Africa","Acinetobacter spp.",88.7188858976353,58.5584009407053,121.082113427428,0.108357021642883,0.0715204418304556,0.147883926319364
"Tropical Latin America","Acinetobacter spp.",200.094898444741,120.233363171478,280.001604511934,0.0941469567597699,0.0565711836312151,0.131743983267676
"Western Europe","Acinetobacter spp.",87.9015194580496,54.476364472017,126.618640064321,0.0206889661712488,0.0128218450448068,0.0298016322936312
"Western Sub-Saharan Africa","Acinetobacter spp.",283.004692115164,211.444472013048,363.142892920135,0.0645811560589615,0.0482512439734481,0.082868547740666
"Andean Latin America","E. coli",33.1873229150161,24.8426420623338,41.7106930495654,0.0548954577564832,0.0410924439848455,0.06899404312181
"Australasia","E. coli",5.26037542330433,3.56439014291483,6.88040741636327,0.0210724714831066,0.0142785454643574,0.0275621371872344
"Caribbean","E. coli",22.885139532761,17.33409016924,28.5194509988388,0.0529118924279254,0.0400775146272456,0.0659387774845694
"Central Asia","E. coli",41.6219658061103,31.2232378860933,53.9912209451854,0.0460682559694288,0.0345586780266815,0.0597588638218439
"Central Europe","E. coli",93.5608066342197,61.937240220904,127.717055427721,0.083717833848734,0.0554211936856718,0.114280708029262
"Central Latin America","E. coli",143.629360642468,102.787447381363,184.939155585784,0.0569635768843862,0.0407656250467693,0.0733470911589463
"Central Sub-Saharan Africa","E. coli",66.0417745159086,52.6684633498022,80.2789173799563,0.0487266178583602,0.0388595870665871,0.0592309967127507
"East Asia","E. coli",467.625139454195,327.467725629774,623.081287806082,0.0313645138148739,0.0219638876054191,0.0417912554530176
"Eastern Europe","E. coli",201.087680459564,137.403874251483,276.313969521438,0.0962965130402776,0.065799724470457,0.132320745400326
"Eastern Sub-Saharan Africa","E. coli",199.9130024723,159.768578850993,242.235333471433,0.0486156828321626,0.0388531934386884,0.058907804880886
"High-income Asia Pacific","E. coli",133.646416737675,100.452891900363,171.686580179821,0.0724478634271313,0.0544541153508261,0.0930689068720282
"High-income North America","E. coli",162.65488200286,118.593780268884,208.183912918208,0.0444895800237382,0.0324379287766928,0.0569427412161334
"North Africa and Middle East","E. coli",232.309551733691,177.726414535534,290.184797188239,0.0370205305928729,0.0283222369350391,0.0462434500937303
"Oceania","E. coli",5.80487957919523,4.64702879487734,7.02688525805798,0.0328643656898372,0.0263091855054856,0.0397827592512022
"South Asia","E. coli",1758.18603594696,1449.93694891869,2091.81769075072,0.0968114215114392,0.0798382277283726,0.115182261742445
"Southeast Asia","E. coli",382.727749580753,298.110120993235,479.778951184963,0.0582633966750923,0.045381888957137,0.0730376916224917
"Southern Latin America","E. coli",30.2707921563028,22.2738843284471,38.6736996234104,0.0452190219545869,0.0332731056148547,0.057771427430979
"Southern Sub-Saharan Africa","E. coli",23.6832519081446,15.4970693970938,31.5090362718129,0.0289255958708233,0.0189273824515747,0.0384836361582651
"Tropical Latin America","E. coli",82.5120535115181,55.2128308236958,109.301119293058,0.0388228725194312,0.0259782734919577,0.0514274368405237
"Western Europe","E. coli",283.527381996295,196.063917686321,404.583825773934,0.0667325030432895,0.0461466398467738,0.0952249874231817
"Western Sub-Saharan Africa","E. coli",361.741986253162,293.040932778633,430.719483374891,0.0825488633869981,0.0668714079261249,0.0982894027854128
"Andean Latin America","E. faecalis",7.34017775508122,4.36870904798514,11.7368452549136,0.0121414559080576,0.00722632203893501,0.0194140242807584
"Australasia","E. faecalis",1.50780576823811,0.850841589752086,2.42921848750438,0.00604010008724866,0.00340837558043139,0.00973117566426779
"Caribbean","E. faecalis",6.41945992019824,4.00790721112332,9.881471676771,0.0148421980235979,0.00926653538259984,0.0228465885314976
"Central Asia","E. faecalis",12.1733772012692,7.18132398567625,19.1898664273209,0.0134738051425276,0.00794847300371778,0.0212398348196996
"Central Europe","E. faecalis",36.3583368826446,20.9642155320366,54.7784724280589,0.0325332937546977,0.0187586958237936,0.0490155570285816
"Central Latin America","E. faecalis",33.180713787276,18.767619662194,53.1568295184126,0.0131595109276108,0.00744326049202092,0.0210820624115971
"Central Sub-Saharan Africa","E. faecalis",22.4536168100342,13.4057532492779,34.3460172941347,0.0165666173245699,0.00989096705031274,0.0253410098670925
"East Asia","E. faecalis",120.117582700679,67.5558981128744,195.496769241094,0.00805651635072908,0.00453110348624661,0.0131123427769138
"Eastern Europe","E. faecalis",72.3711118519372,41.7023467170302,110.912790428264,0.0346569501436507,0.0199703460961359,0.0531137210663514
"Eastern Sub-Saharan Africa","E. faecalis",81.648418878248,50.9760557355702,125.076652516806,0.0198556051224455,0.0123965711435829,0.0304166652157016
"High-income Asia Pacific","E. faecalis",17.3369434614942,8.89816422017362,30.2552523762795,0.00939811588519871,0.00482357104598374,0.0164009514479724
"High-income North America","E. faecalis",42.3076228463059,24.7579768740538,66.0129104988076,0.0115720373656031,0.00677183481861129,0.0180559392258815
"North Africa and Middle East","E. faecalis",34.7421629207626,20.2028660862833,55.7152056765933,0.00553646329077796,0.00321950094789192,0.00887869853325275
"Oceania","E. faecalis",1.53955373613329,0.979684597219265,2.3031665407352,0.00871619407313426,0.00554649108985969,0.0130393932219715
"South Asia","E. faecalis",451.521944740177,275.697715617526,700.337917137732,0.024862261683453,0.0151808097725072,0.0385628755491434
"Southeast Asia","E. faecalis",120.83030690971,71.2016922697829,192.113579511005,0.0183942348302817,0.0108391733946559,0.0292458273589589
"Southern Latin America","E. faecalis",8.39440236114703,5.17831331597897,12.7704592982223,0.0125397004050754,0.00773545212539895,0.0190767283655718
"Southern Sub-Saharan Africa","E. faecalis",9.98073536143934,6.18838710248609,14.8864528325133,0.0121899947979419,0.00755820126024034,0.018181604462657
"Tropical Latin America","E. faecalis",27.7574251764722,17.2030666434383,41.5732016873986,0.0130601885813374,0.0080942412025687,0.0195606707219955
"Western Europe","E. faecalis",68.4572509987554,39.1328169805914,107.844439505276,0.0161124603854642,0.00921050661796022,0.0253828372300977
"Western Sub-Saharan Africa","E. faecalis",91.9899988802008,60.0220283459408,135.831824100532,0.020991950448399,0.0136969177104923,0.0309965752314811
"Andean Latin America","Enterobacter spp.",6.52798334156821,5.23257384496925,8.03516957387174,0.0107979976173354,0.00865524878881447,0.0132910483029372
"Australasia","Enterobacter spp.",1.57254768885818,1.11710887719609,2.09682167537155,0.00629944892953548,0.00447501234492746,0.00839963147186777
"Caribbean","Enterobacter spp.",10.0009311307681,8.05623503815348,12.4177874871988,0.0231227863571803,0.0186265257899187,0.0287107113668637
"Central Asia","Enterobacter spp.",10.5027158047956,7.60196100254228,14.1925473334145,0.0116246743924445,0.00841404480908303,0.0157086742721313
"Central Europe","Enterobacter spp.",17.8800380273249,13.1454036793157,23.5378670506426,0.0159989861848108,0.0117624543939854,0.0210615888617036
"Central Latin America","Enterobacter spp.",30.9786645578522,23.1796951221925,38.945528551155,0.0122861755592544,0.00919309491696805,0.0154458433846904
"Central Sub-Saharan Africa","Enterobacter spp.",22.8100907912084,18.996403991285,27.304445558345,0.0168296292073432,0.0140158335349303,0.0201456319777626
"East Asia","Enterobacter spp.",227.12977381516,142.197763432408,323.394155599511,0.0152340289850746,0.00953747636584624,0.0216906654607774
"Eastern Europe","Enterobacter spp.",31.269232022059,21.3828027998988,44.2661319143284,0.0149741545692411,0.0102397588154198,0.0211980870204922
"Eastern Sub-Saharan Africa","Enterobacter spp.",74.0067306626975,61.5682009804659,87.8291692336546,0.017997267315524,0.0149724134718446,0.0213586659300329
"High-income Asia Pacific","Enterobacter spp.",24.5553372939243,17.8050158485587,32.3498693924823,0.0133111067704061,0.00965185141511287,0.0175364141953191
"High-income North America","Enterobacter spp.",36.7809786764425,27.3299841022769,48.1897679052424,0.0100603822893445,0.00747533366225282,0.01318092951866
"North Africa and Middle East","Enterobacter spp.",70.0654204241599,52.967256225169,91.6336087596754,0.0111655290148749,0.00844078908882862,0.0146026058382296
"Oceania","Enterobacter spp.",2.46996909308784,2.04642320458979,2.90424993518113,0.0139837470201385,0.0115858390573421,0.0164424309965981
"South Asia","Enterobacter spp.",442.396656269027,344.775711522597,563.538686552887,0.0243597937246979,0.0189844681124105,0.0310302665397351
"Southeast Asia","Enterobacter spp.",131.927818039181,102.303460863727,164.556559086439,0.0200836307357285,0.0155738566855092,0.0250507680408434
"Southern Latin America","Enterobacter spp.",10.9198451511761,8.21218613238518,13.7750671258088,0.0163122496128304,0.0122675027167454,0.0205774285513093
"Southern Sub-Saharan Africa","Enterobacter spp.",7.4648456931544,5.28275263466731,9.61949514837761,0.00911720698642674,0.00645210245571741,0.0117487932072211
"Tropical Latin America","Enterobacter spp.",23.3364840521471,16.5548198494386,29.9424521689077,0.0109800848100547,0.00778923361187689,0.0140882689740645
"Western Europe","Enterobacter spp.",35.6390522228607,25.3084462559241,48.2288526661411,0.0083881956803491,0.00595672966365012,0.0113513976486394
"Western Sub-Saharan Africa","Enterobacter spp.",116.187232751719,97.9757282705242,133.483341093348,0.0265137152119874,0.0223578830094248,0.0304606556802708
"Andean Latin America","Enterococcus spp.",9.26014891573352,3.24567874087017,14.9475011272981,0.0153172979611557,0.00536870722193554,0.0247247998520334
"Australasia","Enterococcus spp.",0.659080285743442,0.233467637748892,1.13599694876591,0.00264020139415873,0.000935245061958228,0.00455067583232087
"Caribbean","Enterococcus spp.",8.62632802139572,3.45194821567728,14.281929482324,0.0199446168839252,0.00798112296379997,0.0330207257574355
"Central Asia","Enterococcus spp.",14.7647993063392,5.20797047575552,26.2780956152583,0.0163420573874438,0.00576431488305898,0.0290852681209768
"Central Europe","Enterococcus spp.",18.4910664102969,5.93422871363233,35.5312087850357,0.0165457319267804,0.00530992400921172,0.0317931828563601
"Central Latin America","Enterococcus spp.",43.6907878364866,17.0335696895421,77.0366604846358,0.0173278189148134,0.00675553419081979,0.0305528320449502
"Central Sub-Saharan Africa","Enterococcus spp.",13.0555683309955,4.95002639459946,22.2329225879751,0.00963259533304765,0.00365220417359232,0.0164037857970913
"East Asia","Enterococcus spp.",98.4294838375245,21.690723008662,180.369171979171,0.00660185401754975,0.00145483833964496,0.0120977058524292
"Eastern Europe","Enterococcus spp.",40.8721967925502,13.0705625773166,75.8931576510365,0.0195728053674081,0.006259207907684,0.0363435812114829
"Eastern Sub-Saharan Africa","Enterococcus spp.",43.2803065545208,17.1729671714064,72.2001703406455,0.0105250865642163,0.00417619421932254,0.0175579403955743
"High-income Asia Pacific","Enterococcus spp.",3.95462855256387,1.22838585474473,6.985785891772,0.00214374912754706,0.00066589088441515,0.00378689735626565
"High-income North America","Enterococcus spp.",17.8214583791702,6.37051249913841,29.3112266122108,0.0048745490386564,0.00174247106593246,0.00801724575309671
"North Africa and Middle East","Enterococcus spp.",57.5250218297232,20.966104754976,101.170807699999,0.00916710834578266,0.00334112961220268,0.0161224407417265
"Oceania","Enterococcus spp.",1.70229352556613,0.76093283476225,2.82373312191219,0.0096375465110688,0.00430802648114503,0.0159865845041171
"South Asia","Enterococcus spp.",345.944849639286,132.772244470628,587.666605378037,0.0190488446463528,0.00731087010228857,0.0323588279500851
"Southeast Asia","Enterococcus spp.",109.48458944837,40.8166805024525,190.175252417677,0.0166670539876652,0.00621360340262742,0.0289507520202924
"Southern Latin America","Enterococcus spp.",13.6760604433334,4.88737891823009,22.042428110959,0.0204295306923637,0.0073008493951096,0.0329273523974933
"Southern Sub-Saharan Africa","Enterococcus spp.",12.186803406057,4.58946868619848,20.5501811523678,0.0148843812348063,0.00560535846148402,0.0250990124747683
"Tropical Latin America","Enterococcus spp.",49.2832976739164,19.0217090709305,80.4210913246705,0.0231883597790297,0.00894993343317233,0.0378390507022756
"Western Europe","Enterococcus spp.",21.1915184990227,7.56475866611336,37.9553275049873,0.00498774778919392,0.0017804815787237,0.00893336647205636
"Western Sub-Saharan Africa","Enterococcus spp.",66.8696742067436,27.3101573076166,107.962715502609,0.0152595380425716,0.00623212823044027,0.0246368953331203
"Andean Latin America","K. pneumoniae",29.8435296621404,19.0399381146861,40.9535413329238,0.0493644584128573,0.0314941377205175,0.0677416314650281
"Australasia","K. pneumoniae",2.10354604040867,0.921516055739736,3.39760850405701,0.0084265685208584,0.0036914895312933,0.013610437003283
"Caribbean","K. pneumoniae",15.5641306810193,9.66523989683811,21.3392708085952,0.0359852561593236,0.0223466469574937,0.0493377460031828
"Central Asia","K. pneumoniae",26.2120714417864,15.2161881430132,38.0094109579842,0.0290121908776327,0.0168416660932534,0.0420697878955677
"Central Europe","K. pneumoniae",52.8123771254255,27.5678538712585,79.5303697284006,0.0472563028515613,0.0246676048762932,0.0711634552797393
"Central Latin America","K. pneumoniae",59.3574964598016,31.6922737043947,86.2267421231859,0.0235412543655983,0.0125691938035928,0.0341976294571901
"Central Sub-Saharan Africa","K. pneumoniae",76.7334126459844,52.9929669136982,100.02744894213,0.0566150698156677,0.0390990106930347,0.0738017613196588
"East Asia","K. pneumoniae",201.923071687708,64.9842035716135,340.644270583935,0.0135433671912569,0.00435861500741684,0.0228476637144826
"Eastern Europe","K. pneumoniae",147.607283943828,71.4720744471265,233.589443705707,0.0706859152716471,0.0342264207000855,0.111860899983881
"Eastern Sub-Saharan Africa","K. pneumoniae",272.910140826453,195.038155209371,353.673787956436,0.0663674332535628,0.0474301970185392,0.086007875869515
"High-income Asia Pacific","K. pneumoniae",16.36975378916,7.90942530940396,24.339641160036,0.00887381581790296,0.00428758943629246,0.0131941808966629
"High-income North America","K. pneumoniae",40.027445148794,20.9233168303613,57.6352917851598,0.010948360123994,0.00572297349470286,0.0157644817941725
"North Africa and Middle East","K. pneumoniae",165.893974743188,96.4153658017415,245.464439625985,0.0264366356067605,0.0153646200625368,0.0391168754311632
"Oceania","K. pneumoniae",5.64088053289894,3.93060692364491,7.61002294647954,0.0319358839605034,0.0222531581507124,0.04308419728766
"South Asia","K. pneumoniae",1305.71882103748,725.657888451171,1910.29077969868,0.071897110188795,0.0399570752330026,0.105186801681778
"Southeast Asia","K. pneumoniae",207.515452530063,97.7077287508816,314.168973484384,0.0315904847250156,0.0148742393638061,0.0478265595979868
"Southern Latin America","K. pneumoniae",29.2220555456286,15.4756550914789,42.8736770254403,0.0436524014453584,0.0231177956536394,0.0640454248001431
"Southern Sub-Saharan Africa","K. pneumoniae",27.8039990853565,14.4815871439002,41.2075544603475,0.0339584802059714,0.017687120793936,0.050328944342945
"Tropical Latin America","K. pneumoniae",109.424454786192,63.6200259882139,160.236709222701,0.0514854676120694,0.0299339557496111,0.075393219176368
"Western Europe","K. pneumoniae",88.4280693814998,49.8711258973211,132.266210238258,0.0208128977440009,0.0117379317555958,0.0311308742566681
"Western Sub-Saharan Africa","K. pneumoniae",438.138997200317,316.224992197744,549.398604386775,0.0999825223470012,0.0721619681222668,0.125371762366539
"Andean Latin America","P. aeruginosa",30.5535055680967,23.5968885300218,38.0541679995228,0.0505388361248937,0.0390318315460795,0.0629457512202865
"Australasia","P. aeruginosa",3.59076002005817,2.66780996952515,4.57939421159191,0.0143841802222217,0.0106869462692937,0.0183445374461615
"Caribbean","P. aeruginosa",17.0245806531546,13.4493266700284,20.7774300674902,0.0393619090178901,0.0310956953080337,0.0480387346157967
"Central Asia","P. aeruginosa",34.0670516992302,26.5703775980743,42.0346331997218,0.0377062838673878,0.0294087732927974,0.0465250067920039
"Central Europe","P. aeruginosa",61.6361065441418,47.4643179131255,78.0111009273815,0.0551517404816608,0.0424708809569112,0.0698040196610134
"Central Latin America","P. aeruginosa",111.203865432366,85.5194637309426,138.518715247991,0.0441035865512622,0.033917121997608,0.0549366887846626
"Central Sub-Saharan Africa","P. aeruginosa",35.2349529011568,27.7609762706977,42.9508767949362,0.0259968799726666,0.0204824672267316,0.0316898050606473
"East Asia","P. aeruginosa",257.169459505422,188.011656491357,333.332294478447,0.0172488482437791,0.012610301927444,0.0223572354713768
"Eastern Europe","P. aeruginosa",148.947944244941,114.974599398414,184.094923338387,0.0713279283073223,0.0550588329676239,0.0881590515410452
"Eastern Sub-Saharan Africa","P. aeruginosa",94.4986479119311,76.1742591091894,113.050702724664,0.0229805777420166,0.0185243759786983,0.0274921442809949
"High-income Asia Pacific","P. aeruginosa",51.4801167902722,34.4497172818535,67.1663103889673,0.0279066551986578,0.0186747125262465,0.0364099225459629
"High-income North America","P. aeruginosa",135.192159739412,102.987190456202,167.949732565362,0.0369779396428003,0.0281691935391194,0.0459378346037022
"North Africa and Middle East","P. aeruginosa",161.400869764503,128.602098446753,195.571163052842,0.0257206205781961,0.0204938534998913,0.0311659515110306
"Oceania","P. aeruginosa",3.92655072791325,3.13054362862268,4.8317129678166,0.0222301939706608,0.0177235942994892,0.0273547762216745
"South Asia","P. aeruginosa",912.414932730611,721.580116732056,1129.33335945435,0.0502405233803026,0.0397325399058784,0.0621847549995917
"Southeast Asia","P. aeruginosa",155.158916213761,119.386900973878,196.289569449679,0.0236201464172442,0.0181745023110308,0.0298815465054663
"Southern Latin America","P. aeruginosa",41.6653440516584,31.6523576171102,51.322730944059,0.0622403965409629,0.0472828278365529,0.0766667646272859
"Southern Sub-Saharan Africa","P. aeruginosa",30.9012839814804,24.2230927764385,38.0908205648765,0.0377413564574914,0.0295849317952727,0.046522314009959
"Tropical Latin America","P. aeruginosa",116.060856747239,89.7851180289407,142.240728449734,0.05460797125071,0.0422449332313983,0.0669259027337646
"Western Europe","P. aeruginosa",125.838598630555,97.225129962495,155.097526195346,0.0296180376193314,0.0228834204140156,0.0365045734417739
"Western Sub-Saharan Africa","P. aeruginosa",211.578449466278,174.121864736865,247.031636584462,0.0482818173846195,0.0397342928691546,0.0563721702086472
"Andean Latin America","Proteus spp.",3.09788299772791,2.33516961242197,3.96391056186388,0.00512423691636043,0.00386262565200556,0.00655674111938746
"Australasia","Proteus spp.",0.575945617638724,0.404654236900793,0.75590986986633,0.0023071732769766,0.00162099929785124,0.00302808980248624
"Caribbean","Proteus spp.",2.24282584715465,1.7065810829282,2.85279146542363,0.00518555544698924,0.00394572357971265,0.00659583459920412
"Central Asia","Proteus spp.",4.72670202741652,3.41706288699509,6.15358723528266,0.00523163465907887,0.00378209257282643,0.00681094769059646
"Central Europe","Proteus spp.",9.96607507660486,7.39031067217835,13.0308707840568,0.00891760393483031,0.00661282029517758,0.0116599708195011
"Central Latin America","Proteus spp.",9.56802741178657,7.23355969229557,12.2593543255764,0.00379469115969918,0.00286883845918925,0.0048620746451434
"Central Sub-Saharan Africa","Proteus spp.",5.65646461302625,4.13689898055459,7.45897460295419,0.00417342495183672,0.00305226649679994,0.00550334402364995
"East Asia","Proteus spp.",64.4169868435586,46.2045146177203,84.3732487317898,0.004320570694992,0.00309902529775985,0.00565907540501942
"Eastern Europe","Proteus spp.",12.993957502003,9.74308121185299,16.9594297597497,0.00622252340460042,0.00466574951198142,0.00812150175129109
"Eastern Sub-Saharan Africa","Proteus spp.",20.4812744837241,15.3748692763379,26.0901906683684,0.00498072227411603,0.00373892522787743,0.00634472204848105
"High-income Asia Pacific","Proteus spp.",10.1066060290913,7.43118580220244,12.9038533413649,0.0054786505405874,0.0040283424519816,0.00699499939750648
"High-income North America","Proteus spp.",19.7324478171712,15.4744143923573,24.3419582856549,0.00539724541566998,0.00423258244051452,0.00665804486006819
"North Africa and Middle East","Proteus spp.",28.6471217528637,20.6933003549387,37.1123760765539,0.00456516591476785,0.00329765587828998,0.00591417719875446
"Oceania","Proteus spp.",0.477816493710809,0.345803781034551,0.624597541430952,0.00270516136772727,0.00195777048632996,0.00353616327961895
"South Asia","Proteus spp.",134.453524489038,105.62005406679,170.292776214267,0.00740344682921803,0.00581578249699481,0.00937687218608417
"Southeast Asia","Proteus spp.",30.7973546257266,23.0533955995684,39.5870388123148,0.00468834175485779,0.00350946366966288,0.00602641263415242
"Southern Latin America","Proteus spp.",5.47136014826702,4.17287369206751,6.85105066081475,0.00817321044617671,0.00623350938822492,0.0102342154986805
"Southern Sub-Saharan Africa","Proteus spp.",2.97279989645231,1.9547194993142,4.04392340751869,0.00363083620201807,0.00238740129511253,0.00493905544188472
"Tropical Latin America","Proteus spp.",16.7394144202962,13.0891299577066,20.8835625723572,0.00787608748579224,0.00615858655932465,0.00982595697227447
"Western Europe","Proteus spp.",22.7746750098076,16.9163291531318,29.5502982284716,0.00536036787241162,0.00398151663075494,0.00695511436171397
"Western Sub-Saharan Africa","Proteus spp.",21.8516827558041,16.63928136633,27.4199565129096,0.00498651426467951,0.00379705374704757,0.00625718420940368
"Andean Latin America","S. agalactiae",0.00401615380373109,-3.05178952730011,3.25218346229133,6.64315714891558e-06,-0.00504799328064451,0.00537946674179519
"Australasia","S. agalactiae",-0.410086686093261,-2.67410668862788,1.61004136455001,-0.00164276107747339,-0.0107121702168358,0.00644964437154
"Caribbean","S. agalactiae",1.77163582903469,-1.48350388639692,5.01137178539835,0.00409613427408423,-0.00342995496885979,0.0115866090501982
"Central Asia","S. agalactiae",1.12382051742197,-3.11088426822074,5.71268018730017,0.00124387328319536,-0.00344320624900959,0.00632294049651527
"Central Europe","S. agalactiae",-1.52241968536309,-9.98480336763703,6.78705538376308,-0.00136225501737662,-0.00893436193439557,0.00607302988698492
"Central Latin America","S. agalactiae",-2.82542758845621,-14.7008475754971,9.82809626543336,-0.00112056797402956,-0.00583037379952567,0.0038978347793162
"Central Sub-Saharan Africa","S. agalactiae",19.5547479496378,-13.1287168472651,52.1687814306925,0.0144277881332372,-0.00968656541221804,0.0384909142060884
"East Asia","S. agalactiae",-45.005343022274,-236.831693693896,156.329319790148,-0.00301859456190232,-0.0158847553348653,0.0104853069190225
"Eastern Europe","S. agalactiae",-4.53246117080143,-23.7309518093186,13.7908213884722,-0.00217049699534625,-0.0113642362632144,0.0066041241742713
"Eastern Sub-Saharan Africa","S. agalactiae",29.0254470895748,-46.4283471516629,101.62029167125,0.00705853002214805,-0.0112906402866894,0.0247124489558197
"High-income Asia Pacific","S. agalactiae",11.8517828109299,-9.06536030443896,30.3368315464025,0.00642468659776815,-0.0049142057174855,0.0164451743812903
"High-income North America","S. agalactiae",-12.8255806788956,-61.6730187380513,36.4756845489148,-0.00350806991427777,-0.0168688862496227,0.00997687783285253
"North Africa and Middle East","S. agalactiae",-7.06890201803032,-53.2606848650518,37.9694128888924,-0.00112649050141729,-0.00848754947323184,0.00605075340620532
"Oceania","S. agalactiae",0.510053413676106,-2.55927619374427,3.66389990325382,0.00288767091198217,-0.0144893597851632,0.0207431945191508
"South Asia","S. agalactiae",94.6668901385038,-86.1846425418312,273.4220122683,0.00521266579133057,-0.00474560574725305,0.0150555021704261
"Southeast Asia","S. agalactiae",4.98228389805109,-26.934790000779,38.2083703673937,0.000758462858828657,-0.00410033595916353,0.00581653523023316
"Southern Latin America","S. agalactiae",2.68691496789964,-1.13750768384077,6.11054487641793,0.00401375908156615,-0.00169922824165,0.00912803541758977
"Southern Sub-Saharan Africa","S. agalactiae",-2.17978884354166,-12.2755501932702,8.76633083020684,-0.00266229027232245,-0.0149927723337871,0.0107067789443771
"Tropical Latin America","S. agalactiae",-2.03579159943352,-13.2347919861279,9.08233424297513,-0.000957863419674844,-0.0062271222231417,0.00427334297824338
"Western Europe","S. agalactiae",-2.84870078928031,-25.7478377830646,18.8968058024824,-0.000670485272891752,-0.0060601471756225,0.00444765208158656
"Western Sub-Saharan Africa","S. agalactiae",103.539998088753,-27.4820795457917,246.079257666763,0.0236276392625789,-0.00627136057252835,0.0561548390716561
"Andean Latin America","S. aureus",156.115529223323,78.4719023341079,242.324928933764,0.258232140674785,0.129801099374116,0.400831906016959
"Australasia","S. aureus",27.1993994261361,13.7999386803421,43.8916700429251,0.108957730702203,0.0552810001015977,0.175825086785247
"Caribbean","S. aureus",84.3963610481647,50.0703019662508,122.90971359714,0.195129733454157,0.115765710219044,0.284175044460146
"Central Asia","S. aureus",98.6627210814857,61.7897622590211,138.969214397775,0.109202422360238,0.068390488745749,0.153814679743149
"Central Europe","S. aureus",193.688189111997,107.92114226453,302.026509739167,0.173311413377765,0.0965674044708697,0.2702521073713
"Central Latin America","S. aureus",438.45393385059,255.539590627831,657.287421515726,0.173891356610097,0.101347308465488,0.260680980568122
"Central Sub-Saharan Africa","S. aureus",130.39789692648,78.6180314324597,189.130834899419,0.0962095361556322,0.0580055699966576,0.139543584116697
"East Asia","S. aureus",1839.89847329046,964.439260629841,2971.302090962,0.123405514833611,0.0646867885437848,0.199290922615741
