"region","pathogen","avertable_burden","lower_bound","upper_bound","avertable_burden_per_100k","lower_bound_per_100k","upper_bound_per_100k"
"Central Europe, Eastern Europe, and Central Asia","Acinetobacter spp.",1146.35306659366,708.889404988676,1675.83267440811,0.278967472295687,0.172509753940391,0.40781746810284
"High-income","Acinetobacter spp.",2202.11047302582,1490.75259837884,3122.33457362529,0.27858112178608,0.188589780689455,0.394995382278352
"Latin America and Caribbean","Acinetobacter spp.",1701.83267121,1116.50183149417,2501.19277379196,0.267867367175756,0.175736669714191,0.393686132866585
"North Africa and Middle East","Acinetobacter spp.",2901.99091866156,1981.39662645636,4050.89717883511,0.46245728073939,0.315752640728396,0.6455454018936
"South Asia","Acinetobacter spp.",8176.03054257629,5369.72576905578,11365.2996111112,0.450316049584931,0.295751548759952,0.625973300438778
"Southeast Asia, East Asia, and Oceania","Acinetobacter spp.",8816.61690770422,5311.10620459794,13304.6561543327,0.379402498269999,0.228551039893879,0.572534775687736
"Sub-Saharan Africa","Acinetobacter spp.",2429.44281386523,1737.41213763715,3280.38819376875,0.227723624634261,0.162856185462878,0.307486920634262
"Central Europe, Eastern Europe, and Central Asia","E. coli",1857.69719875629,1311.86761857539,2535.18255615577,0.452074589347715,0.319245792771331,0.616942101093173
"High-income","E. coli",6521.82375240522,4993.41884223475,8377.51081550489,0.825052602624285,0.631699562604638,1.05980893753781
"Latin America and Caribbean","E. coli",1432.26618831814,1112.39390297852,1773.88659555802,0.225437776257319,0.175090084409627,0.279208608495363
"North Africa and Middle East","E. coli",2100.30374924599,1643.06038978758,2666.09162439636,0.334701516244243,0.26183584347749,0.424864693714844
"South Asia","E. coli",6804.06927593561,5479.38227304589,8272.57096763919,0.374751730865728,0.301791164613999,0.455633263435
"Southeast Asia, East Asia, and Oceania","E. coli",6090.53551106631,4619.71652795797,7810.62013449924,0.262091958048159,0.19879870140154,0.336111778824993
"Sub-Saharan Africa","E. coli",3614.57865665787,3081.67035720543,4194.90394833993,0.338812236502157,0.288860120380553,0.393208980535213
"Central Europe, Eastern Europe, and Central Asia","E. faecalis",857.144056960456,516.0905364017,1288.63895136883,0.20858784080724,0.125591736622222,0.313593046890286
"High-income","E. faecalis",1926.86099514854,1162.61450641238,2859.51229475485,0.243760294558133,0.147078204008584,0.361746675560428
"Latin America and Caribbean","E. faecalis",440.785764934046,267.579217794695,681.72973452532,0.0693793957178441,0.0421167966711155,0.107303821463767
"North Africa and Middle East","E. faecalis",488.21638012404,300.961678051251,725.345509689737,0.077801490732688,0.0479608390030863,0.115590062618926
"South Asia","E. faecalis",2710.97751755508,1685.378398862,4018.64691135432,0.149314105403805,0.0928265787021098,0.221337382776891
"Southeast Asia, East Asia, and Oceania","E. faecalis",2139.09321775722,1289.10038520042,3371.86347895324,0.0920508761291783,0.0554734215840181,0.145100262507986
"Sub-Saharan Africa","E. faecalis",1538.14176065197,1003.55419875963,2221.15486782313,0.144177592877649,0.0940680712277727,0.208199770946647
"Central Europe, Eastern Europe, and Central Asia","Enterobacter spp.",82.2053103753966,61.9241288983499,107.250909701904,0.0200048382239253,0.0150693693036617,0.0260997384251414
