"pathogen","avertable_burden","lower_bound","upper_bound"
"Acinetobacter spp.",7147.77729939184,5676.46956467212,8762.58184423196
"E. coli",4731.8775492624,4348.06725721135,5144.08914522347
"E. faecalis",1268.4289489482,1042.8152548821,1552.0398730001
"Enterobacter spp.",1334.42234750917,1190.03773874025,1493.4231110967
"Enterococcus spp.",990.769961895339,727.767675972083,1277.66615131197
"K. pneumoniae",3319.25096429513,2650.61546928627,3984.28285128668
"P. aeruginosa",2739.54495332418,2515.38204411912,2986.65768881228
"Proteus spp.",427.75094585887,386.88871073438,471.830320485384
"S. agalactiae",188.463088775117,-122.989895460875,509.926184228878
"S. aureus",11725.9111458882,10147.175683111,13482.7095292665
"S. pyogenes",-169.538584808832,-498.819779449352,91.2297814959312
"Citrobacter spp.",303.893512172903,267.739279935133,347.180814090982
"E. faecium",8.71197422191208,-63.6442820906956,83.0783011998199
"S. pneumoniae",3028.70624160267,2523.588784562,3552.79653414253
"Salmonella spp.",523.02598074401,122.438836632285,904.025207203461
"Serratia spp.",261.253657135089,226.868674869626,300.351390694092
"Shigella spp.",401.542776236061,242.428868433391,650.952051124444
"H. influenzae",158.430341900583,121.417704069979,196.344612848292
"Morganella spp.",28.9962575997839,16.6071113319914,45.3497233780019
