"pathogen","avertable_burden","lower_bound","upper_bound"
"Acinetobacter spp.",1533.00451416057,-877.149055550928,3526.38982377138
"E. coli",-1015.07858842366,-4461.02893097017,1545.14714495801
"E. faecalis",0,0,0
"Enterobacter spp.",780.062301726217,17.8375181246216,1348.56814665788
"Enterococcus spp.",0,0,0
"K. pneumoniae",3132.04535654951,-445.825433480856,5475.36736858647
"P. aeruginosa",515.354951648961,371.206335991517,643.852610206419
"Proteus spp.",262.893691188514,48.8552121946596,416.778599392346
"S. agalactiae",0,0,0
"S. aureus",-882.666971294458,-3263.97246417491,1293.18481298654
"S. pyogenes",0,0,0
"Citrobacter spp.",36.3697654771186,22.7091410535313,51.3790719995903
"E. faecium",0,0,0
"S. pneumoniae",2971.78424585742,-1105.67574710716,5925.82047594928
"Salmonella spp.",0,0,0
"Serratia spp.",79.2294460898321,42.0255316585532,119.664298511493
"Shigella spp.",0,0,0
"H. influenzae",10.8176732188063,6.94737482992394,14.5732709747989
"Morganella spp.",0.0339666985681678,-0.0655163005929573,0.125861561253472
