"region","avertable_burden","lower_bound","upper_bound","variance","total_burden","proportion_avertable","proportion_avertable_lower_bound","proportion_avertable_upper_bound","proportion_avertable_variance","avertable_burden_per_100k","lower_bound_per_100k","upper_bound_per_100k","variance_per_100k"
"Andean Latin America",359.330031887349,276.254549752859,450.809234846204,2067.29950541674,57663.0999978685,0.00623154204162855,0.00479083763729439,0.00781798472268865,6.21738022568429e-07,0.594371128898215,0.456955205601493,0.745687724529747,0.00565629146604822
"Australasia",52.8526067285541,38.5170697181717,70.3083089583492,67.2493696358774,20807.9895060127,0.00254001506071895,0.00185107118143451,0.00337890928568726,1.55320213016764e-07,0.211721589900461,0.154295043211794,0.281647167041855,0.00107915962185928
"Caribbean",261.594851235385,213.007457579771,309.875332427498,572.241473721614,51243.2398457886,0.00510496315265446,0.00415679137815633,0.00604714560125466,2.17924556195476e-07,0.604823868714073,0.492486736454999,0.716451399913894,0.00305899516364164
"Central Asia",345.933967630985,292.164001277865,402.99040336063,762.468013671055,73152.315540727,0.00472895444353212,0.00399391323594131,0.00550892204001756,1.4248379500592e-07,0.382888560419815,0.323374586837638,0.446040082338337,0.000934071229701561
"Central Europe",597.242807869683,487.170738356237,724.319900576919,3673.98377681749,125180.084232302,0.00477106890870399,0.00389175915117755,0.00578622314419255,2.34458917420783e-07,0.534410464758628,0.43591841922786,0.648118536716972,0.00294161129743983
"Central Latin America",1141.57647013969,921.253517852052,1385.27249280597,13846.7928426938,202204.949581188,0.00564564058646513,0.0045560384142929,0.00685083374900158,3.38661346509981e-07,0.452750598730863,0.365370251315176,0.549400733922407,0.00217799683469622
"Central Sub-Saharan Africa",621.005730225561,537.589909564819,710.175241630954,1965.91472490274,172625.795048398,0.00359740981961272,0.00311419222958016,0.00411395783250033,6.59710341456543e-08,0.458187399208417,0.39664194791685,0.523978010358949,0.00107018717732794
"East Asia",5410.77215666205,3965.25737827351,7008.66955805942,615172.4719054,938438.552316059,0.00576571811048077,0.00422537774954715,0.00746843737478824,6.98530239297593e-07,0.362910852600526,0.265957407605483,0.470084892001776,0.0027674406220839
"Eastern Europe",1101.11790930411,919.006557360797,1285.51161335506,8616.44455588902,229753.125373554,0.00479261340847403,0.00399997412817167,0.00559518662157458,1.63231977519368e-07,0.527301398424098,0.440092236047201,0.615603529544745,0.00197596064853349
"Eastern Sub-Saharan Africa",1859.48010888235,1607.59749379825,2124.1826402351,16903.6235570712,562849.442051218,0.0033036900633778,0.00285617675650456,0.00377398018285999,5.33574827452265e-08,0.452196175777337,0.390942304471188,0.516567648117657,0.000999655843037576
"High-income Asia Pacific",1328.44614135695,897.428244913601,1822.02309552055,60373.7367114607,235317.106785699,0.00564534452893282,0.00381369742800246,0.0077428416506066,1.09028755838221e-06,0.720132173900603,0.486483367906284,0.987693374858295,0.0177412649783672
"High-income North America",1639.0951877732,1209.88922105452,2199.82130038173,65869.9712679593,351815.364252099,0.00465896420202581,0.00343898915167204,0.00625277211829046,5.32179168324734e-07,0.448327499457888,0.330930511627783,0.601698052810588,0.00492799070817069
"North Africa and Middle East",2325.40002929761,1873.69207443239,2806.32268524857,53170.0608660236,383534.678783851,0.00606307632121093,0.00488532635529511,0.00731699854142818,3.6145803265989e-07,0.370572549784636,0.2985889914792,0.447211722666549,0.00135026279638106
"Oceania",62.9159785932361,53.9487663983122,72.5128627724889,21.9600775784647,17255.8539796429,0.00364606577382141,0.00312640373880983,0.00420221814915876,7.37498185030975e-08,0.356199245826343,0.305431312267728,0.41053207165797,0.000703878904168015
"South Asia",11799.5847575659,10278.9429549344,13567.9034999358,1563343.12760419,1843345.02121846,0.00640118079998197,0.00557624472717537,0.00736047964095583,4.60088150572214e-07,0.649723379818228,0.565991913686325,0.747092740985937,0.00473999463451154
"Southeast Asia",3027.91851852556,2506.03580730447,3585.1614623759,73573.3681752387,614478.374966758,0.00492762421247024,0.00407831407808296,0.00583447946816657,1.94853150116039e-07,0.460945980368455,0.381498750699179,0.545776167668733,0.00170503121564761
"Southern Latin America",469.139035076217,348.719061706727,600.72937117735,4456.47302492193,81629.1616274916,0.00574719898774775,0.00427199121924196,0.0073592495524912,6.68806691887912e-07,0.700807835398788,0.520922439884552,0.897379707930033,0.00994457068927219
"Southern Sub-Saharan Africa",360.186160167129,295.281124587805,425.647930642688,1160.3567244793,103322.140264285,0.00348605012677651,0.00285786883462261,0.00411961975965592,1.08693790900865e-07,0.439914220718782,0.360642301624626,0.519866109298467,0.00173090599887101
"Tropical Latin America",1143.53887830381,906.825496894788,1397.78054601014,15373.1991895619,221489.34293842,0.0051629521453849,0.00409421728767739,0.00631082528606694,3.13370842190239e-07,0.538048226944259,0.426671851748323,0.657671862939604,0.00340333574119006
"Western Europe",1434.46935936408,1140.03896324859,1794.03786944062,29017.2802724256,492026.238314963,0.00291543264903249,0.00231702879739274,0.00364622398103127,1.19861629743327e-07,0.337624289461116,0.268325595393286,0.422254234279875,0.00160746497497472
"Western Sub-Saharan Africa",3077.61867536315,2696.25560873542,3475.26035400219,40154.8891246157,925042.089297165,0.00332700393957369,0.00291473830210688,0.00375686727578271,4.69262061336113e-08,0.702306984658478,0.615280626413552,0.793048092559562,0.00209104215894178
