"","Gradient","R_squared","White_test_p_value","RMSE","AIC","BIC","Model_Singular","Bootstrap_Singular_Proportion","VIF.Consumption","VIF.PC1","VIF.PC2","VIF.PC3","VIF.GDP","VIF.Year"
"Acinetobacter spp.",0.433066732143626,0.999900964606486,1.4107750385751e-37,1.30500248062946,14034.8219549674,14096.79183424,FALSE,0,1.00354202283263,10.1493510053483,11.2442234106094,1.33663111477895,1.70267532014131,1.16683641325739
"E. coli",0.274966246980813,0.997568297084568,8.67735677657638e-192,1.21131453901555,31530.1089410817,31596.4088012706,FALSE,0,1.00416612323181,21.6428516860258,21.8216233224953,1.95872318033034,1.46317929453712,1.07020095036585
"E. faecalis",0.111947280873836,0.999979753602355,3.66263861089887e-44,1.06394130972578,6845.27355808177,6902.4337107482,FALSE,0,1.04049371089316,4.99911505453405,5.35212083457643,1.25856255341263,1.29324733034393,1.17585850581103
"E. faecium",0.166733536240039,0.999981594442035,1.22406878261091e-67,1.03242467132731,6016.53405836305,6072.76558904781,FALSE,0,1.02326832105381,5.96844416067511,6.2351266318734,1.22972148008287,1.21160672709065,1.15977178535883
"Enterococcus spp.",0.25760515273148,0.999990251800509,2.72588839886124e-27,1.97258882469792,3625.10313613387,3672.48466107982,FALSE,0,1.02965560483267,19.0831032924489,22.9240652393829,1.53093411274654,2.17806285316357,1.19607406693254
"K. pneumoniae",0.176911848129705,0.999395479082596,0,1.38639524887241,24335.3145384449,24400.7372981627,FALSE,0,1.01306343559435,19.2349048312475,19.56598027348,1.85635243550333,1.33980751472695,1.03373021219734
"Morganella spp.",0.13582694269791,0.999995851907588,1.91342475817921e-26,1.04813186405987,3859.79797480666,3911.50685959178,FALSE,0,1.02777341074828,9.16578822434085,10.2590907966129,1.1300815461281,1.69710089584503,1.02647499383749
"P. aeruginosa",0.277782885627141,0.999778105431282,9.96127681035273e-06,0.922104473556155,10896.5161720186,10959.4341430691,FALSE,0,1.0053948285323,5.32450225264172,5.80624720402998,1.23190985637285,1.3406706889866,1.15284344085839
"S. agalactiae",0.187206347725687,0.999988797695966,1.31874772290848e-10,1.4948459862109,5071.98778758588,5124.63508936518,FALSE,0,1.26635425914859,8.43135235018986,9.75766879803204,1.46172909284023,1.90437118916412,1.16251347126458
"S. aureus",0.288509375759006,0.99987546470908,0.0070835637087453,0.974402075404962,10056.9445227899,10116.9614225709,FALSE,0,1.01100334450312,6.08037128087476,6.8318542282598,1.20557249051361,1.43487771016004,1.11211271933238
"S. pneumoniae",0.397351546438601,0.999897321650724,1.28324251769704e-35,1.19612387479945,12934.2293766912,12995.4827275583,FALSE,0,1.00659922130695,7.91041591499618,8.53113653157621,1.24120671546134,1.41802338004028,1.18952956071599
"S. pyogenes",0.329773319093269,0.035057703447906,0.000131419331836862,1.17541881486463,2758.90043232881,2796.04032673975,TRUE,0,1.23974091412787,9.18800525233596,11.4490124702445,1.13417045730466,1.91925508391906,1.02275934620089
