"Consumption","Resistance","Pathogen","DOI","Antibiotic","Weight","ISO3","PC1","PC2","PC3","GDP","Year"
87,63,"Acinetobacter spp.","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-3.35430939462738,-0.931137478553002,1.03283862584676,16440.58374,2007
118,76,"Acinetobacter spp.","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-3.21734083873706,-1.17157598843414,1.02190865196567,17113.36798,2008
140,57,"P. aeruginosa","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-3.08685403848337,-1.40360707282844,1.00881104009003,16939.44078,2009
156,54,"P. aeruginosa","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-2.93983748037192,-1.64964157577591,0.997207925642445,18062.15811,2010
220,66,"P. aeruginosa","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-2.79144821520567,-1.90238363635956,0.985988985480535,18627.81045,2011
219,44,"P. aeruginosa","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-2.33403740887391,-3.67683741064336,0.752668970791227,17620.92724,2016
87,1,"K. pneumoniae","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-3.35430939462738,-0.931137478553002,1.03283862584676,16440.58374,2007
118,1,"K. pneumoniae","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-3.21734083873706,-1.17157598843414,1.02190865196567,17113.36798,2008
140,5,"K. pneumoniae","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-3.08685403848337,-1.40360707282844,1.00881104009003,16939.44078,2009
156,15,"K. pneumoniae","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-2.93983748037192,-1.64964157577591,0.997207925642445,18062.15811,2010
220,10,"K. pneumoniae","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-2.79144821520567,-1.90238363635956,0.985988985480535,18627.81045,2011
199,36,"K. pneumoniae","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-2.85372574626252,-2.69179599532858,0.799154494688383,18832.21955,2012
227,63,"K. pneumoniae","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-2.71089116221965,-2.94548661256019,0.789129646008654,19241.50598,2013
245,84,"K. pneumoniae","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-2.57405733723056,-3.18948552243266,0.777611405682442,19183.17275,2014
223,80,"K. pneumoniae","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-2.4613856801155,-3.43033110872296,0.764952698444053,18357.06906,2015
219,82,"K. pneumoniae","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-2.33403740887391,-3.67683741064336,0.752668970791227,17620.92724,2016
156,81,"Acinetobacter spp.","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-2.93983748037192,-1.64964157577591,0.997207925642445,18062.15811,2010
220,86,"Acinetobacter spp.","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-2.79144821520567,-1.90238363635956,0.985988985480535,18627.81045,2011
199,88,"Acinetobacter spp.","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-2.85372574626252,-2.69179599532858,0.799154494688383,18832.21955,2012
227,92,"Acinetobacter spp.","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-2.71089116221965,-2.94548661256019,0.789129646008654,19241.50598,2013
245,89,"Acinetobacter spp.","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-2.57405733723056,-3.18948552243266,0.777611405682442,19183.17275,2014
223,87,"Acinetobacter spp.","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-2.4613856801155,-3.43033110872296,0.764952698444053,18357.06906,2015
219,92,"Acinetobacter spp.","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-2.33403740887391,-3.67683741064336,0.752668970791227,17620.92724,2016
87,38,"P. aeruginosa","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-3.35430939462738,-0.931137478553002,1.03283862584676,16440.58374,2007
118,52,"P. aeruginosa","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-3.21734083873706,-1.17157598843414,1.02190865196567,17113.36798,2008
227,81,"P. aeruginosa","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-2.71089116221965,-2.94548661256019,0.789129646008654,19241.50598,2013
245,76,"P. aeruginosa","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-2.57405733723056,-3.18948552243266,0.777611405682442,19183.17275,2014
223,62,"P. aeruginosa","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-2.4613856801155,-3.43033110872296,0.764952698444053,18357.06906,2015
140,84,"Acinetobacter spp.","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-3.08685403848337,-1.40360707282844,1.00881104009003,16939.44078,2009
199,69,"P. aeruginosa","https://doi.org/10.1007/s10096-018-3352-1","J01D",1,"BRA",-2.85372574626252,-2.69179599532858,0.799154494688383,18832.21955,2012
32,39,"E. coli","https://doi.org/10.1186/s12879-020-04981-0","J01M",1,"CHN",-1.1471184963597,-6.66556216623794,0.485655711813823,13696.51749,2014
52,27,"E. coli","https://doi.org/10.1186/s12879-020-04981-0","J01M",1,"CHN",-1.1471184963597,-6.66556216623794,0.485655711813823,13696.51749,2014
83,66,"E. coli","https://doi.org/10.1186/s12879-020-04981-0","J01M",1,"CHN",-1.1471184963597,-6.66556216623794,0.485655711813823,13696.51749,2014
85,56,"E. coli","https://doi.org/10.1186/s12879-020-04981-0","J01M",1,"CHN",-1.1471184963597,-6.66556216623794,0.485655711813823,13696.51749,2014
59,43,"E. coli","https://doi.org/10.1186/s12879-020-04981-0","J01M",1,"CHN",-1.1471184963597,-6.66556216623794,0.485655711813823,13696.51749,2014
28,38,"P. aeruginosa","https://doi.org/10.1371/journal.pone.0078604","J01D",1,"CHN",-1.58407288566217,-6.02265177388231,0.488981557069322,10267.80567,2010
27,16,"E. coli","https://doi.org/10.1186/s12879-020-04981-0","J01M",1,"CHN",-1.1471184963597,-6.66556216623794,0.485655711813823,13696.51749,2014
54,46,"E. coli","https://doi.org/10.1186/s12879-020-04981-0","J01M",1,"CHN",-1.1471184963597,-6.66556216623794,0.485655711813823,13696.51749,2014
50,35,"E. coli","https://doi.org/10.1186/s12879-020-04981-0","J01M",1,"CHN",-1.1471184963597,-6.66556216623794,0.485655711813823,13696.51749,2014
60,44,"E. coli","https://doi.org/10.1186/s12879-020-04981-0","J01M",1,"CHN",-1.1471184963597,-6.66556216623794,0.485655711813823,13696.51749,2014
57,45,"E. coli","https://doi.org/10.1186/s12879-020-04981-0","J01M",1,"CHN",-1.1471184963597,-6.66556216623794,0.485655711813823,13696.51749,2014
44,65,"P. aeruginosa","https://doi.org/10.1371/journal.pone.0078604","J01G",1,"CHN",-2.1482018956611,-3.85871080376836,0.631884438443154,5567.190612,2004
