"Pathogen","ATC.Class","Total.Isolates","Percent.Resistant.Isolates","Antibiotic.Consumption","PC1","PC2","PC3","GDP"
"Acinetobacter spp.","J01A",28645,27.3365056103313,1.84723047619048,-0.549104539882163,-5.53990653969273,0.996493914016325,37842.2426925567
"Acinetobacter spp.","J01C",29570,57.1329282576867,6.99991361639824,-0.512889205877265,-5.63847998156143,0.97804858169095,37653.5166268954
"Acinetobacter spp.","J01D",201090,53.8833499811532,2.77502837116155,-0.403782332353369,-5.81688000903537,0.976453508440253,37811.9694915601
"Acinetobacter spp.","J01E",1887,59.6778431372549,0.539039215686275,-0.300538212696151,-6.13286229315751,0.865902483368805,39266.4220819362
"Acinetobacter spp.","J01G",107873,43.5625791759792,0.122864670658683,-0.296031710167814,-6.01876017778447,0.953947467500602,38045.712764294
"Acinetobacter spp.","J01M",79780,50.6591081167888,1.91039596469105,-0.215890526403751,-6.14942524286693,0.961174848649767,38376.2473965082
"E. coli","J01A",138869,5.77310254163017,1.86141717791411,-0.511203672680977,-5.61353317490124,0.992449085314974,38044.6701426435
"E. coli","J01C",265514,31.1276985743381,6.98201578411405,-0.490343906578473,-5.6575259357328,0.983816295172789,37951.5481759235
"E. coli","J01D",12263316,12.0219362812378,2.90880051096445,-0.01968139377899,-6.42796888587398,0.965655777646105,40191.4536700455
"E. coli","J01E",649184,43.6643866533151,0.517129411764706,-0.658892416630821,-5.46913174793329,0.867713858133598,40197.3574274074
"E. coli","J01F",5,40,2.3462,-3.25579301839383,-1.31557434003845,0.812432703925094,18144.87454525
"E. coli","J01G",1580625,7.33357160563724,0.11491186440678,0.270036310130485,-6.87360857460557,0.983964891553721,42865.7086785159
"E. coli","J01M",5437736,31.5774793762563,1.88290476190476,0.186690195851467,-6.74412300633498,0.977109217624786,42148.100006951
"E. faecalis","J01A",49811,13.8961096605744,1.86241427328111,-0.516611307982373,-5.6106745433865,0.994326067058976,37852.9470313974
"E. faecalis","J01C",46448,1.20806215722121,6.95117458866545,-0.489965852826047,-5.64997861076414,0.993338210443674,38223.2561719079
"E. faecalis","J01F",7617,65.1861181434599,2.94730801687764,-0.180320410707482,-6.17889248959439,0.956300927823038,38174.5900415442
"E. faecalis","J01G",166140,33.6379066975164,0.0968604651162791,1.53731757220093,-8.8376548638167,0.949365912283356,48863.5426254007
"E. faecalis","J01M",25971,30.5638103161398,1.82429783693844,-0.502926112446041,-5.63942008380364,0.988963719243358,37948.9462437563
"E. faecium","J01A",24718,7.62314338235301,1.88857261029412,-0.389313713730027,-5.83610622499509,0.985596607375219,38547.1610764157
"E. faecium","J01C",22040,83.6401357904947,7.06633947623666,-0.373424627838973,-5.85633740010396,0.983824364291281,38881.6614899135
"E. faecium","J01F",5376,61.9682608695652,2.99559565217391,-0.0180487583135455,-6.47864945414736,0.952420675676377,38713.0084865962
"E. faecium","J01G",66076,42.6736578654672,0.0859850746268657,1.65601555262549,-8.99383495837899,0.936226710882502,49948.4956502591
"E. faecium","J01M",12875,80.5202280701754,1.85662105263158,-0.37515967921788,-5.86577200683797,0.980437819661131,38647.574952428
"Enterococcus spp.","J01A",2233,6.34722126929672,2.09401200686106,-0.30293140968072,-5.97217725742496,0.95523725782612,38563.5706020921
"Enterococcus spp.","J01C",2180,26.3591935483871,7.31043189964158,-0.254500993282353,-6.03049071004803,0.958138379160978,39027.2385037859
"Enterococcus spp.","J01F",85,41.7542105263158,2.64938596491228,-0.959203105044228,-5.27191126104602,0.860098178165178,30790.7061150213
"Enterococcus spp.","J01M",1117,28.6680136986301,2.03196917808219,-0.304188919998227,-5.96767422236624,0.954238338704811,38603.4992746985
"H. influenzae","J01A",53567,0.385800711743774,1.93785231316726,-0.184775459226697,-6.11487671689696,0.996970872979007,40017.280298711
"H. influenzae","J01C",87124,5.92310534198701,7.32463055416875,-0.132664996729954,-6.2101023077674,0.98729025348887,40118.9587396578
"H. influenzae","J01D",105892,0,2.84469982425308,-0.0552043663684099,-6.34202886543774,0.981363075554489,40252.5352161022
"H. influenzae","J01F",1544,0,2.44440845070423,-0.645329678223911,-5.56946896119078,0.880600456518727,37121.4138756923
"H. influenzae","J01M",27483,0,1.84917035775128,-0.176036327572536,-6.13403187612779,0.992632212305364,40100.5841589686
"K. pneumoniae","J01A",109502,8.70383053839364,1.86549161518094,-0.47499405713214,-5.67445273903992,0.989759286949277,38219.7822109213
"K. pneumoniae","J01C",249058,46.8015027458812,7.07990564153769,-0.401708136714975,-5.80532277892214,0.979731604684875,38456.5424317117
"K. pneumoniae","J01D",2853357,22.8569874961749,2.88686957499438,-0.0494072480734283,-6.37827527844849,0.961249832719564,39726.466028629
"K. pneumoniae","J01E",121919,42.3581955162271,0.518564705882353,-0.556324049497959,-5.5738244480315,0.876032595953309,41352.237699284
"K. pneumoniae","J01G",404687,15.9824325978345,0.114602780536246,0.208872333434196,-6.77711498749536,0.972702317024739,41592.0916403709
"K. pneumoniae","J01M",957408,30.7025115533154,1.8879932885906,0.125769064333873,-6.64626734683704,0.969177886518171,41066.3327332098
"Morganella spp.","J01A",2899,3.73537878787879,1.82922348484848,0.00110818255451899,-6.51472890856887,0.933602551984624,38740.7062412954
"Morganella spp.","J01C",9379,65.4463786982248,7.63643076923077,-0.0121754711530619,-6.49865174963675,0.929643436295694,38824.4363988053
"Morganella spp.","J01D",24348,12.8314849708391,2.93051547779273,0.0196505117072393,-6.53921569430267,0.93587139751453,38720.0324472753
"Morganella spp.","J01E",682,36.0543396226415,0.545132075471698,-0.204923997399794,-6.26536889247884,0.872195859666524,40039.3780720612
"Morganella spp.","J01G",3581,5.24533123028391,0.118908517350158,-0.0341910370880033,-6.47200638832967,0.923081824979076,38963.2059605524
"Morganella spp.","J01M",3581,26.9555520504732,1.89836593059937,-0.0341910370880035,-6.47200638832967,0.923081824979076,38963.2059605524
"P. aeruginosa","J01C",201608,19.1781138003314,7.54707134894091,0.128990366758679,-6.60117671305288,0.991987054370709,41403.6582018823
"P. aeruginosa","J01D",670828,18.8917273760167,2.8580531496063,-0.0141016346822705,-6.41793509072489,0.972293879074286,40083.0186565093
"P. aeruginosa","J01G",252632,10.6352671024073,0.109352173913043,0.147921631397805,-6.64422255408231,0.988072771603115,41702.0625918079
